COUNTRY_CODE,AVG_RAINFALL
GV,179.75694444444446
ID,166.64684014869889
CB,164.2
ZA,160.6
BM,155.87856071964018
NI,148.6474820143885
LI,145.0
FG,133.1937321937322
KZ,129.97058823529412
KN,128.93083573487033
KG,127.85207100591715
CG,126.8780487804878
BX,125.17171717171718
GA,120.11940298507464
LA,115.91225626740948
FM,113.9831705484598
IN,111.1338677101742
CM,109.68997668997667
CS,109.68067226890756
AJ,106.94196642685851
KS,104.6861489191353
NH,103.360435875943
RP,103.30922844175493
SG,101.46279949558638
AO,100.35135135135135
PS,99.55801104972376
SA,98.6376811594203
TH,97.09343648011604
PA,96.56763754045308
SY,93.08510638297872
GB,92.87150837988828
CT,92.86666666666666
CD,91.23809523809524
TZ,90.65543071161048
GY,90.4806763285024
MY,90.08645161290325
BL,89.74227831285287
RW,88.45086705202313
ES,87.05641025641026
MA,86.96912114014252
ET,86.48218527315915
AQ,86.43424657534247
EG,85.725
CF,84.5648
RM,83.51367521367521
EK,83.18954248366013
IV,82.65289672544081
NS,81.81615598885794
SN,81.58357771260997
TO,78.1652281134402
TV,77.60643564356435
BN,76.86058981233244
GH,76.07177033492823
ML,74.76821773485514
FJ,74.47423352902806
UV,73.1295871559633
GQ,73.03743315508021
MD,72.26370757180156
TI,71.1734693877551
WF,70.54929577464789
BP,68.58171206225681
MZ,67.33044846577498
VM,65.34420376100928
CQ,64.95433789954338
PE,64.23153692614771
MG,62.70220588235294
WA,61.32217573221757
AR,60.61295856426498
EC,60.17
NG,59.96675531914894
JA,58.476636320490144
BR,58.26273077703388
CV,56.21875
CE,54.484876686831086
PP,54.28260869565217
SE,54.19884726224784
TD,53.68876080691643
MC,53.41193181818182
CW,52.2
KE,50.35883424408014
DR,50.03684210526316
BC,48.610951008645536
BA,48.04347826086956
MI,47.98039215686274
MJ,47.7738572574178
SF,47.60844490216272
UZ,46.12953367875648
BD,45.390625
CO,44.00653594771242
NP,43.79331306990881
BH,42.871428571428574
PK,42.50655294362388
CU,42.24
MP,41.847088931541904
RQ,41.37422422422422
UP,40.75517890772128
CJ,39.71739130434783
RE,39.20775623268698
SZ,39.03023332237923
BO,38.510803324099726
HO,37.72431506849315
PO,37.680473372781066
LY,37.23841059602649
FP,35.30075901328273
SI,34.90513392857143
AU,34.49777183600713
LH,33.78693623639191
AF,33.2
BK,32.850267379679146
EI,32.60213078618663
UY,30.916109873793616
AM,30.667723525681676
NZ,30.592211055276383
NO,30.51893315403149
MF,30.38700564971752
BF,29.807135969141758
EZ,29.584063950489945
NF,29.21323529411765
BE,28.778393351800556
US,28.63662070626056
TU,28.43108395815977
LO,27.73026689381033
SB,27.23809523809524
HR,26.71826280623608
UK,26.69628847314424
KR,26.11614730878187
JM,25.8027950310559
LE,25.628865979381445
CH,24.998732153685022
GL,24.290368271954677
CA,23.8157368258692
AS,23.6648394969287
PL,23.40648723257419
IS,22.964227642276423
NL,22.9487601642748
LU,22.2316715542522
DA,21.926102502979735
GM,21.91687177890073
LG,21.780379041248608
VQ,21.350066934404285
RI,20.90858208955224
MX,20.586373361127876
FR,20.24371563236449
BU,20.12133891213389
RO,19.646060606060605
MU,19.174911660777383
SW,18.855057822418875
GI,18.21921921921922
AY,18.118577981651377
GG,18.079166666666666
HU,17.949086161879894
FI,17.690096096660092
IT,17.258663148636764
EN,17.079512035725955
JN,16.887671232876713
GR,16.59449192782526
MK,15.738035264483628
RS,15.640366832519714
TX,15.536437246963562
QA,15.438095238095238
SP,15.427842363316785
SV,13.854748603351956
MR,13.181818181818182
JO,12.425
WI,12.12121212121212
CI,11.695833333333333
MO,11.218512898330804
MT,10.828478964401295
AG,10.54936360509116
KU,10.511363636363637
FK,9.91340782122905
CY,6.695783132530121
MV,6.5222551928783385
TS,5.638713745271122
IR,4.878565127903558
IZ,1.4337349397590362
AE,0.0
WQ,0.0
VE,0.0
BG,0.0
